name_en,name_he,name_ar,front,lat,lon,precision,matched_query
Abasan,עבסנים,عبسان,Gaza Strip,31.323849,34.34971,exact,en
Al-Amal,אל-אמל,الأمل,Gaza Strip,31.374117,34.335654,fallback,en_broad
Al-Atatra,אל-עטאטרה,العطاطرة,Gaza Strip,31.296083,34.290752,exact,ar
Al-Bureij,אל-בוריג',البريج,Gaza Strip,31.438198,34.403575,exact,en
Al-Furqan,אל-פורקאן,الفرقان,Gaza Strip,31.514176,34.426257,exact,ar
Al-Jalaa,אל-ג'לאא,الجلاء,Gaza Strip,31.521031,34.458694,exact,en
Al-Jaran,אל-ג'רן,الجرن,Gaza Strip,,,unresolved,
Al-Karara,אל-קרארה,القرارة,Gaza Strip,31.378251,34.335515,exact,en
Al-Maghazi,אל-מע'אזי,المغازي,Gaza Strip,31.422716,34.38641,exact,en
Al-Mawasi,אל-מוואסי,المواسي,Gaza Strip,31.37854,34.308608,exact,en
Al-Mughraqa,אל-מועארקה,المغراقة,Gaza Strip,31.467252,34.40976,exact,en
Al-Nahda,אל-נהצ'ה,النهضة,Gaza Strip,31.252448,34.300711,exact,en
Al-Nozha,אל-נזהה,النزهة,Gaza Strip,,,unresolved,
Al-Nur,אל-נור,النور,Gaza Strip,31.359496,34.322446,fallback,en_broad
Al-Rodha,אל-רוצ'ה,الروضة,Gaza Strip,31.332757,34.322426,exact,ar
Al-Salam,אל-סלאם,السلام,Gaza Strip,31.421846,34.348148,exact,en
Al-Zahur,אל-זהור,الزهور,Gaza Strip,,,unresolved,
Bakshi,בקשי,بخشى,Gaza Strip,,,unresolved,
Beit Hanoun,בית חאנון,بيت حانون,Gaza Strip,31.539022,34.538418,exact,en
Beit Lahia,בית לאהיא,بيت لاهيا,Gaza Strip,31.54977,34.50247,exact,en
Daraj Tuffah,דרג' תופאח,الدرج والتفاح,Gaza Strip,,,unresolved,
Deir al-Balah,דיר אל-בלאח,دير البلح,Gaza Strip,31.418346,34.350248,exact,en
Ezbet Mlin,עזבת מלין,عزبة ملين,Gaza Strip,31.525809,34.491884,exact,ar
Gaza City,עזה,غزة,Gaza Strip,31.503844,34.467105,exact,en
Hamad,חמד,حمد,Gaza Strip,31.376218,34.319276,exact,en
Jabalia,ג'באליה,جباليا,Gaza Strip,31.528214,34.483167,exact,en
Khan Yunis,חאן יונס,خان يونس,Gaza Strip,31.344329,34.30959,exact,en
Khirbat Ikhza'a,ח'רבת אחזעה,خزاعة,Gaza Strip,31.307318,34.358437,exact,ar
Nuseirat,נוסיראת,النصيرات,Gaza Strip,31.448261,34.393526,exact,en
Officer's Neighbourhood,שכונת הקצינים,حي الضباط,Gaza Strip,,,unresolved,
Rafah,רפיח,رفح,Gaza Strip,31.298148,34.26004,exact,en
Rimal,רימאל,الرمال,Gaza Strip,31.516805,34.437488,exact,ar
Sabra,צברא,الصبرة,Gaza Strip,31.507151,34.451923,exact,en
Sajaiyya,סג'עיה,السجاعية,Gaza Strip,,,unresolved,
Salah al-Din,צלאח א-דין,صلاح الدين,Gaza Strip,31.250828,34.26076,exact,ar
Shabura,שבורה,الشابورة,Gaza Strip,31.288106,34.2577,exact,ar
Sheikh Ejlin,שיח' עג'לין,الشيخ عجلين,Gaza Strip,31.504492,34.423736,exact,ar
Sheikh Radwan,שיח' רדואן,الشيخ رضوان,Gaza Strip,31.532192,34.466769,exact,en
Sheikh Zayed,שיח' זאיד,الشيخ زايد,Gaza Strip,31.542977,34.51409,fallback,en_broad
Shejaiya,שג'אעיה,الشجاعية,Gaza Strip,31.497973,34.472645,exact,ar
Tel al-Sultan,תל אל-סלטאן,تل السلطان,Gaza Strip,,,unresolved,
Tel al-Zaatar,תל אל-זעתר,تل الزعتر,Gaza Strip,,,unresolved,
Wadi Gaza,ואדי עזה,وادي غزة,Gaza Strip,31.38336,34.364967,exact,en
Zeytoun,זייתון,الزيتون,Gaza Strip,31.487904,34.444542,exact,ar
Ahvaz,אהווז,الأحواز,Iran,31.323064,48.67932,exact,en
Bushehr,בושהאר,بوشهر,Iran,28.893664,51.320488,exact,en
Dezful,דזפול,دزفول,Iran,32.378026,48.403206,exact,en
Hamadan,המדאן,همدان,Iran,34.97263,48.656382,exact,en
Isfahan,אצפהאן,أصفهان,Iran,32.670788,51.665,exact,en
Karaj,כרג',كرج,Iran,35.822489,50.990468,exact,en
Kermanshah,כרמנשאה,كرمانشاه,Iran,34.378974,46.701012,exact,en
