name_en,name_he,name_ar,front
Abasan,עבסנים,عبسان,Gaza Strip
Al-Amal,אל-אמל,الأمل,Gaza Strip
Al-Atatra,אל-עטאטרה,العطاطرة,Gaza Strip
Al-Bureij,אל-בוריג',البريج,Gaza Strip
Al-Furqan,אל-פורקאן,الفرقان,Gaza Strip
Al-Jalaa,אל-ג'לאא,الجلاء,Gaza Strip
Al-Jaran,אל-ג'רן,الجرن,Gaza Strip
Al-Karara,אל-קרארה,القرارة,Gaza Strip
Al-Maghazi,אל-מע'אזי,المغازي,Gaza Strip
Al-Mawasi,אל-מוואסי,المواسي,Gaza Strip
Al-Mughraqa,אל-מועארקה,المغراقة,Gaza Strip
Al-Nahda,אל-נהצ'ה,النهضة,Gaza Strip
Al-Nozha,אל-נזהה,النزهة,Gaza Strip
Al-Nur,אל-נור,النور,Gaza Strip
Al-Rodha,אל-רוצ'ה,الروضة,Gaza Strip
Al-Salam,אל-סלאם,السلام,Gaza Strip
Al-Zahur,אל-זהור,الزهور,Gaza Strip
Bakshi,בקשי,بخشى,Gaza Strip
Beit Hanoun,בית חאנון,بيت حانون,Gaza Strip
Beit Lahia,בית לאהיא,بيت لاهيا,Gaza Strip
Daraj Tuffah,דרג' תופאח,الدرج والتفاح,Gaza Strip
Deir al-Balah,דיר אל-בלאח,دير البلح,Gaza Strip
Ezbet Mlin,עזבת מלין,عزبة ملين,Gaza Strip
Gaza City,עזה,غزة,Gaza Strip
Hamad,חמד,حمد,Gaza Strip
Jabalia,ג'באליה,جباليا,Gaza Strip
Khan Yunis,חאן יונס,خان يونس,Gaza Strip
Khirbat Ikhza'a,ח'רבת אחזעה,خزاعة,Gaza Strip
Nuseirat,נוסיראת,النصيرات,Gaza Strip
Officer's Neighbourhood,שכונת הקצינים,حي الضباط,Gaza Strip
Rafah,רפיח,رفح,Gaza Strip
Rimal,רימאל,الرمال,Gaza Strip
Sabra,צברא,الصبرة,Gaza Strip
Sajaiyya,סג'עיה,السجاعية,Gaza Strip
Salah al-Din,צלאח א-דין,صلاح الدين,Gaza Strip
Shabura,שבורה,الشابورة,Gaza Strip
Sheikh Ejlin,שיח' עג'לין,الشيخ عجلين,Gaza Strip
Sheikh Radwan,שיח' רדואן,الشيخ رضوان,Gaza Strip
Sheikh Zayed,שיח' זאיד,الشيخ زايد,Gaza Strip
Shejaiya,שג'אעיה,الشجاعية,Gaza Strip
Tel al-Sultan,תל אל-סלטאן,تل السلطان,Gaza Strip
Tel al-Zaatar,תל אל-זעתר,تل الزعتر,Gaza Strip
Wadi Gaza,ואדי עזה,وادي غزة,Gaza Strip
Zeytoun,זייתון,الزيتون,Gaza Strip
Ahvaz,אהווז,الأحواز,Iran
Bushehr,בושהאר,بوشهر,Iran
Dezful,דזפול,دزفول,Iran
Hamadan,המדאן,همدان,Iran
Isfahan,אצפהאן,أصفهان,Iran
Karaj,כרג',كرج,Iran
Kermanshah,כרמנשאה,كرمانشاه,Iran
Mashhad,משהד,مشهد,Iran
Natanz,נטנז,نطنز,Iran
Shiraz,שיראז,شيراز,Iran
Tabriz,טבריז,تبريز,Iran
Tehran,טהראן,طهران,Iran
Yazd,יזד,يزد,Iran
A-Dik,א-דיק,كفر الديك,Judea & Samaria
A-Zawaydin,א-זווידין,الزوايدين,Judea & Samaria
Abu Dis,אבו דיס,أبو ديس,Judea & Samaria
Abu Snina,אבו סנינה,أبو سنينة,Judea & Samaria
Abush,עבוש,كفر عبوش,Judea & Samaria
Al-Amari,אלעמרי,الأمعري,Judea & Samaria
Al-Bireh,אל בירה,البيرة,Judea & Samaria
Al-Fahas,אל פאחס,الفحص,Judea & Samaria
