name_en,name_he,name_ar,front,lat,lon,precision,matched_query
Gaza City,עזה,غزة,Gaza Strip,31.503844,34.467105,exact,en
Khan Yunis,חאן יונס,خان يونس,Gaza Strip,31.344329,34.30959,exact,en
Rafah,רפיח,رفح,Gaza Strip,31.298148,34.26004,exact,en
Jabalia,ג'באליה,جباليا,Gaza Strip,31.528214,34.483167,exact,en
Beit Lahia,בית לאהיא,بيت لاهيا,Gaza Strip,31.54977,34.50247,exact,en
Beit Hanoun,בית חאנון,بيت حانون,Gaza Strip,31.539022,34.538418,exact,en
Deir al-Balah,דיר אל-בלאח,دير البلح,Gaza Strip,31.418346,34.350248,exact,en
Al-Bureij,אל-בוריג',البريج,Gaza Strip,31.438198,34.403575,exact,en
Nuseirat,נוסיראת,النصيرات,Gaza Strip,31.448261,34.393526,exact,en
Khirbat Ikhza'a,ח'רבת אחזעה,خزاعة,Gaza Strip,31.307318,34.358437,exact,ar
Al-Mawasi,אל-מוואסי,المواسي,Gaza Strip,31.37854,34.308608,exact,en
Al-Maghazi,אל-מע'אזי,المغازي,Gaza Strip,31.422716,34.38641,exact,en
Rimal,רימאל,الرمال,Gaza Strip,31.516805,34.437488,exact,ar
Shejaiya,שג'אעיה,الشجاعية,Gaza Strip,31.497973,34.472645,exact,ar
Zeytoun,זייתון,الزيتون,Gaza Strip,31.487904,34.444542,exact,ar
Sheikh Radwan,שיח' רדואן,الشيخ رضوان,Gaza Strip,31.532192,34.466769,exact,en
Daraj Tuffah,דרג' תופאח,الدرج والتفاح,Gaza Strip,,,unresolved,
Sheikh Ejlin,שיח' עג'לין,الشيخ عجلين,Gaza Strip,31.504492,34.423736,exact,ar
Al-Amal,אל-אמל,الأمل,Gaza Strip,31.374117,34.335654,fallback,en_broad
Al-Furqan,אל-פורקאן,الفرقان,Gaza Strip,31.514176,34.426257,exact,ar
Bakshi,בקשי,بخشى,Gaza Strip,,,unresolved,
Hamad,חמד,حمد,Gaza Strip,31.376218,34.319276,exact,en
Al-Karara,אל-קרארה,القرارة,Gaza Strip,31.378251,34.335515,exact,en
Abasan,עבסנים,عبسان,Gaza Strip,31.323849,34.34971,exact,en
Al-Mughraqa,אל-מועארקה,المغراقة,Gaza Strip,31.467252,34.40976,exact,en
Tel al-Sultan,תל אל-סלטאן,تل السلطان,Gaza Strip,,,unresolved,
Sabra,צברא,الصبرة,Gaza Strip,31.507151,34.451923,exact,en
Sheikh Zayed,שיח' זאיד,الشيخ زايد,Gaza Strip,31.538139,34.507812,fallback,en_broad
Al-Jalaa,אל-ג'לאא,الجلاء,Gaza Strip,31.521031,34.458694,exact,en
Al-Salam,אל-סלאם,السلام,Gaza Strip,31.421846,34.348148,exact,en
Al-Nur,אל-נור,النور,Gaza Strip,31.359496,34.322446,fallback,en_broad
Tel al-Zaatar,תל אל-זעתר,تل الزعتر,Gaza Strip,,,unresolved,
Ezbet Mlin,עזבת מלין,عزبة ملين,Gaza Strip,31.525809,34.491884,exact,ar
Al-Rodha,אל-רוצ'ה,الروضة,Gaza Strip,31.332757,34.322426,exact,ar
Al-Nozha,אל-נזהה,النزهة,Gaza Strip,,,unresolved,
Al-Jaran,אל-ג'רן,الجرن,Gaza Strip,,,unresolved,
Al-Nahda,אל-נהצ'ה,النهضة,Gaza Strip,31.252448,34.300711,exact,en
Al-Zahur,אל-זהור,الزهور,Gaza Strip,,,unresolved,
Al-Atatra,אל-עטאטרה,العطاطرة,Gaza Strip,31.296083,34.290752,exact,ar
Officer's Neighbourhood,שכונת הקצינים,حي الضباط,Gaza Strip,,,unresolved,
Jenin,ג'נין,جنين,Judea & Samaria,32.461884,35.297566,exact,en
Nablus,שכם,نابلس,Judea & Samaria,32.220532,35.256937,exact,en
Tulkarm,טול כרם,طولكرم,Judea & Samaria,32.311147,35.02755,exact,en
Hebron,חברון,الخليل,Judea & Samaria,31.528902,35.094487,exact,en
Ramallah,רמאללה,رام الله,Judea & Samaria,31.897801,35.192422,exact,en
Jericho,יריחו,أريحا,Judea & Samaria,31.856048,35.459824,exact,en
Bethlehem,בית לחם,بيت لحم,Judea & Samaria,31.704356,35.206188,exact,en
Nur al-Shams,נור א-שמס,نور شمس,Judea & Samaria,32.317134,35.058522,exact,en
Aqabat Jaber,עקבת ג'אבר,عقبة جبر,Judea & Samaria,31.836229,35.440618,exact,en
Al-Amari,אלעמרי,الأمعري,Judea & Samaria,31.895401,35.209471,exact,en
Jalazone,ג'ילזון,الجلزون,Judea & Samaria,31.951476,35.211558,exact,en
Ein Beit Ilma,עין בית אילמא,عين بيت الماء,Judea & Samaria,,,unresolved,
Fara'a,פרעה,الفارعة,Judea & Samaria,32.39265,35.273668,exact,en
Shuafat,שועפאט,شعفاط,Judea & Samaria,31.810764,35.23521,fallback,en_broad
Al-Fawwar,אל-פוואר,الفوار,Judea & Samaria,31.473473,35.070546,exact,en
Kfar Qatanna,קטנה,قطنة,Judea & Samaria,31.837657,35.121869,exact,ar
Bala'a,בלעה,بلعا,Judea & Samaria,32.331089,35.111694,exact,en
Dura,דורא,دورا,Judea & Samaria,31.506598,35.026367,exact,en
Harmala,הרמלה,حرملة,Judea & Samaria,31.661128,35.211298,exact,en
Beit Rima,בית רימא,بيت ريما,Judea & Samaria,32.031854,35.104033,exact,en
Halhul,חלחול,حلحول,Judea & Samaria,31.577547,35.099316,exact,en
Deir Abu Mash'al,דיר אבו משעל,دير أبو مشعل,Judea & Samaria,31.998813,35.068279,exact,en
Surif,צוריף,صوريف,Judea & Samaria,31.650401,35.064113,exact,en
Kfar Qalil,כפר קליל,كفر قليل,Judea & Samaria,32.191681,35.27728,exact,en
Beit Fajjar,בית פג'ר,بيت فجار,Judea & Samaria,31.623201,35.153869,exact,en
Beit Kahil,בית כחיל,بيت كاحل,Judea & Samaria,31.570936,35.066311,exact,en
Qaffin,קפין,قفين,Judea & Samaria,32.433565,35.083489,exact,en
Al-Fahas,אל פאחס,الفحص,Judea & Samaria,31.509634,35.113755,exact,ar
Ubeidiya,עובידייה,العبيدية,Judea & Samaria,31.718588,35.276505,exact,en
Abu Dis,אבו דיס,أبو ديس,Judea & Samaria,31.764235,35.25845,exact,en
Zatara,זעתרה,زعترة,Judea & Samaria,31.670577,35.257009,exact,ar
Ein as-Sultan,עין א-סולטאן,عين السلطان,Judea & Samaria,31.870899,35.444006,exact,en
Nahalin,נחאלין,نحالين,Judea & Samaria,31.685318,35.119318,exact,en
Rumana,רומאנה,رمانة,Judea & Samaria,32.521848,35.21491,exact,en
Abu Snina,אבו סנינה,أبو سنينة,Judea & Samaria,31.513261,35.090872,exact,ar
Al-Khader,אל-ח'אדר,الخضر,Judea & Samaria,31.694731,35.166849,exact,en
Rantis,רנתיס,رنتيس,Judea & Samaria,32.028745,35.019133,exact,en
Al-Bireh,אל בירה,البيرة,Judea & Samaria,31.90074,35.211759,exact,en
Shuqba,שוקבא,شقبا,Judea & Samaria,31.986531,35.039046,exact,en
Tammun,טמון,طمون,Judea & Samaria,32.28275,35.384776,exact,en
Doha,דוחה,الدوحة,Judea & Samaria,31.700879,35.179983,exact,en
Telfit,תלפית,تلفيت,Judea & Samaria,32.403919,35.342908,exact,en
Sair,סעיר,سعير,Judea & Samaria,31.582929,35.145219,exact,en
A-Zawaydin,א-זווידין,الزوايدين,Judea & Samaria,,,unresolved,
Qalqas,קלקס,قلقس,Judea & Samaria,31.493244,35.095795,exact,en
Bidyah,בידיא,بديا,Judea & Samaria,32.114719,35.075595,exact,ar
Sabah al-Khair,סבאח אל-ח'יר,صباح الخير,Judea & Samaria,32.487326,35.300109,exact,ar
Arraba,עראבה,عرابة,Judea & Samaria,32.40461,35.203339,exact,en
Al-Mughayyir,אל-מוע'ייר,المغير,Judea & Samaria,32.019807,35.346234,exact,en
Urif,עוריף,عوريف,Judea & Samaria,32.159396,35.225347,exact,ar
Beit Awwa,בית עווא,بيت عوا,Judea & Samaria,31.506123,34.951585,exact,en
Beit Anun,בית ענון,بيت عينون,Judea & Samaria,31.577922,35.139237,exact,ar
Wadi Burqin,ואדי ברוקין,وادي برقين,Judea & Samaria,32.468617,35.280237,exact,en
Deir Ibzi',דיר איבזיע,دير إبزيع,Judea & Samaria,31.916763,35.122235,exact,en
Kobar,כובאר,كوبر,Judea & Samaria,31.988674,35.157712,exact,en
Deir Ammar,דיר עמאר,دير عمار,Judea & Samaria,31.968154,35.097113,exact,en
Kfar Jamal,כפר ג'מאל,كفر جمال,Judea & Samaria,32.224968,35.044029,exact,ar
Bazaria,בזאריה,بزاريا,Judea & Samaria,32.306867,35.16399,exact,en
Zubaidat,זבידאת,زبيدات,Judea & Samaria,32.172488,35.529986,exact,en
Aqaba,עקבה,عقبة,Judea & Samaria,32.201287,35.035274,exact,en
Kfar Dan,כפר דאן,كفردان,Judea & Samaria,31.648682,35.114973,exact,en
Huwwara,חווארה,حوارة,Judea & Samaria,32.145223,35.274975,exact,en
Khirbat al-Luzia,ח'רבת אל-לוזיה,خربة اللوزية,Judea & Samaria,,,unresolved,
Dahariya,דאהרייה,الظاهرية,Judea & Samaria,31.407719,34.971016,exact,ar
Bani Na'im,בני נעים,بني نعيم,Judea & Samaria,31.516871,35.163048,exact,en
Az-Zababdeh,א-זבאבדה,الزبابدة,Judea & Samaria,32.385757,35.324156,exact,en
Arrura,ערורה,عارورة,Judea & Samaria,32.041114,35.172598,exact,ar
Umm Safa,אום צפה,أم صفا,Judea & Samaria,32.008376,35.16589,exact,en
Mazar'i al-Qibliya,מזרעה אל קבליה,المزرعة القبلية,Judea & Samaria,31.954047,35.16115,exact,ar
Kibya,קיביא,قبية,Judea & Samaria,31.979426,35.011803,exact,ar
Fahma,פחמה,فحمة,Judea & Samaria,32.382735,35.179843,exact,en
Kfar Ni'ma,כפר נעמה,كفر نعمة,Judea & Samaria,31.927202,35.093997,exact,ar
Attara,עטארה,عطارة,Judea & Samaria,32.003054,35.207213,exact,en
Ein Umm ash-Sharayit,עין אום אשרייט,أم الشرايط,Judea & Samaria,31.884779,35.211084,exact,ar
Einas,עינאבוס,عينابوس,Judea & Samaria,32.148139,35.245534,exact,ar
Burqin,ברוקין,برقين,Judea & Samaria,32.456188,35.260657,exact,en
Immatin,אימאתין,إماتين,Judea & Samaria,32.188873,35.157369,exact,ar
Al-Yamun,אל-יאמון,اليامون,Judea & Samaria,32.483853,35.229946,exact,en
Deir Dibwan,דיר דיבוואן,دير دبوان,Judea & Samaria,31.911341,35.268906,exact,en
Madama,מדמא,مادما,Judea & Samaria,32.185572,35.231252,exact,en
