name_en,name_he,name_ar,front
Gaza City,עזה,غزة,Gaza Strip
Khan Yunis,חאן יונס,خان يونس,Gaza Strip
Rafah,רפיח,رفح,Gaza Strip
Jabalia,ג'באליה,جباليا,Gaza Strip
Beit Lahia,בית לאהיא,بيت لاهيا,Gaza Strip
Beit Hanoun,בית חאנון,بيت حانون,Gaza Strip
Deir al-Balah,דיר אל-בלאח,دير البلح,Gaza Strip
Al-Bureij,אל-בוריג',البريج,Gaza Strip
Nuseirat,נוסיראת,النصيرات,Gaza Strip
Khirbat Ikhza'a,ח'רבת אחזעה,خزاعة,Gaza Strip
Al-Mawasi,אל-מוואסי,المواسي,Gaza Strip
Al-Maghazi,אל-מע'אזי,المغازي,Gaza Strip
Rimal,רימאל,الرمال,Gaza Strip
Shejaiya,שג'אעיה,الشجاعية,Gaza Strip
Zeytoun,זייתון,الزيتون,Gaza Strip
Sheikh Radwan,שיח' רדואן,الشيخ رضوان,Gaza Strip
Daraj Tuffah,דרג' תופאח,الدرج والتفاح,Gaza Strip
Sheikh Ejlin,שיח' עג'לין,الشيخ عجلين,Gaza Strip
Al-Amal,אל-אמל,الأمل,Gaza Strip
Al-Furqan,אל-פורקאן,الفرقان,Gaza Strip
Bakshi,בקשי,بخشى,Gaza Strip
Hamad,חמד,حمد,Gaza Strip
Al-Karara,אל-קרארה,القرارة,Gaza Strip
Abasan,עבסנים,عبسان,Gaza Strip
Al-Mughraqa,אל-מועארקה,المغراقة,Gaza Strip
Tel al-Sultan,תל אל-סלטאן,تل السلطان,Gaza Strip
Sabra,צברא,الصبرة,Gaza Strip
Sheikh Zayed,שיח' זאיד,الشيخ زايد,Gaza Strip
Al-Jalaa,אל-ג'לאא,الجلاء,Gaza Strip
Al-Salam,אל-סלאם,السلام,Gaza Strip
Al-Nur,אל-נור,النور,Gaza Strip
Tel al-Zaatar,תל אל-זעתר,تل الزعتر,Gaza Strip
Ezbet Mlin,עזבת מלין,عزبة ملين,Gaza Strip
Al-Rodha,אל-רוצ'ה,الروضة,Gaza Strip
Al-Nozha,אל-נזהה,النزهة,Gaza Strip
Al-Jaran,אל-ג'רן,الجرن,Gaza Strip
Al-Nahda,אל-נהצ'ה,النهضة,Gaza Strip
Al-Zahur,אל-זהור,الزهور,Gaza Strip
Al-Atatra,אל-עטאטרה,العطاطرة,Gaza Strip
Officer's Neighbourhood,שכונת הקצינים,حي الضباط,Gaza Strip
Jenin,ג'נין,جنين,West Bank (Judea & Samaria)
Nablus,שכם,نابلس,West Bank (Judea & Samaria)
Tulkarm,טול כרם,طولكرم,West Bank (Judea & Samaria)
Hebron,חברון,الخليل,West Bank (Judea & Samaria)
Ramallah,רמאללה,رام الله,West Bank (Judea & Samaria)
Jericho,יריחו,أريحا,West Bank (Judea & Samaria)
Bethlehem,בית לחם,بيت لحم,West Bank (Judea & Samaria)
Nur al-Shams,נור א-שמס,نور شمس,West Bank (Judea & Samaria)
Aqabat Jaber,עקבת ג'אבר,عقبة جبر,West Bank (Judea & Samaria)
Al-Amari,אלעמרי,الأمعري,West Bank (Judea & Samaria)
Jalazone,ג'ילזון,الجلزون,West Bank (Judea & Samaria)
Ein Beit Ilma,עין בית אילמא,عين بيت الماء,West Bank (Judea & Samaria)
Fara'a,פרעה,الفارعة,West Bank (Judea & Samaria)
Shuafat,שועפאט,شعفاط,West Bank (Judea & Samaria)
Al-Fawwar,אל-פוואר,الفوار,West Bank (Judea & Samaria)
Kfar Qatanna,קטנה,قطنة,West Bank (Judea & Samaria)
Bala'a,בלעה,بلعا,West Bank (Judea & Samaria)
Dura,דורא,دورا,West Bank (Judea & Samaria)
Harmala,הרמלה,حرملة,West Bank (Judea & Samaria)
Beit Rima,בית רימא,بيت ريما,West Bank (Judea & Samaria)
Halhul,חלחול,حلحول,West Bank (Judea & Samaria)
Deir Abu Mash'al,דיר אבו משעל,دير أبو مشعل,West Bank (Judea & Samaria)
Surif,צוריף,صوريف,West Bank (Judea & Samaria)
Kfar Qalil,כפר קליל,كفر قليل,West Bank (Judea & Samaria)
Beit Fajjar,בית פג'ר,بيت فجار,West Bank (Judea & Samaria)
Beit Kahil,בית כחיל,بيت كاحل,West Bank (Judea & Samaria)
Qaffin,קפין,قفين,West Bank (Judea & Samaria)
Al-Fahas,אל פאחס,الفحص,West Bank (Judea & Samaria)
Ubeidiya,עובידייה,العبيدية,West Bank (Judea & Samaria)
Abu Dis,אבו דיס,أبو ديس,West Bank (Judea & Samaria)
Zatara,זעתרה,زعترة,West Bank (Judea & Samaria)
Ein as-Sultan,עין א-סולטאן,عين السلطان,West Bank (Judea & Samaria)
Nahalin,נחאלין,نحالين,West Bank (Judea & Samaria)
Rumana,רומאנה,رمانة,West Bank (Judea & Samaria)
Abu Snina,אבו סנינה,أبو سنينة,West Bank (Judea & Samaria)
Al-Khader,אל-ח'אדר,الخضر,West Bank (Judea & Samaria)
Rantis,רנתיס,رنتيس,West Bank (Judea & Samaria)
Al-Bireh,אל בירה,البيرة,West Bank (Judea & Samaria)
Shuqba,שוקבא,شقبا,West Bank (Judea & Samaria)
Tammun,טמון,طمون,West Bank (Judea & Samaria)
Doha,דוחה,الدوحة,West Bank (Judea & Samaria)
Telfit,תלפית,تلفيت,West Bank (Judea & Samaria)
Sair,סעיר,سعير,West Bank (Judea & Samaria)
A-Zawaydin,א-זווידין,الزوايدين,West Bank (Judea & Samaria)
Qalqas,קלקס,قلقس,West Bank (Judea & Samaria)
Bidyah,בידיא,بديا,West Bank (Judea & Samaria)
Sabah al-Khair,סבאח אל-ח'יר,صباح الخير,West Bank (Judea & Samaria)
Arraba,עראבה,عرابة,West Bank (Judea & Samaria)
Al-Mughayyir,אל-מוע'ייר,المغير,West Bank (Judea & Samaria)
Urif,עוריף,عوريف,West Bank (Judea & Samaria)
Beit Awwa,בית עווא,بيت عوا,West Bank (Judea & Samaria)
Beit Anun,בית ענון,بيت عينون,West Bank (Judea & Samaria)
Wadi Burqin,ואדי ברוקין,وادي برقين,West Bank (Judea & Samaria)
Deir Ibzi',דיר איבזיע,دير إبزيع,West Bank (Judea & Samaria)
Kobar,כובאר,كوبر,West Bank (Judea & Samaria)
Deir Ammar,דיר עמאר,دير عمار,West Bank (Judea & Samaria)
Kfar Jamal,כפר ג'מאל,كفر جمال,West Bank (Judea & Samaria)
Bazaria,בזאריה,بزاريا,West Bank (Judea & Samaria)
Zubaidat,זבידאת,زبيدات,West Bank (Judea & Samaria)
Aqaba,עקבה,عقبة,West Bank (Judea & Samaria)
Kfar Dan,כפר דאן,كفردان,West Bank (Judea & Samaria)
Huwwara,חווארה,حوارة,West Bank (Judea & Samaria)
Khirbat al-Luzia,ח'רבת אל-לוזיה,خربة اللوزية,West Bank (Judea & Samaria)
Dahariya,דאהרייה,الظاهرية,West Bank (Judea & Samaria)
Bani Na'im,בני נעים,بني نعيم,West Bank (Judea & Samaria)
Az-Zababdeh,א-זבאבדה,الزبابدة,West Bank (Judea & Samaria)
Arrura,ערורה,عارورة,West Bank (Judea & Samaria)
Umm Safa,אום צפה,أم صفا,West Bank (Judea & Samaria)
Mazar'i al-Qibliya,מזרעה אל קבליה,المزرعة القبلية,West Bank (Judea & Samaria)
Kibya,קיביא,قبية,West Bank (Judea & Samaria)
Fahma,פחמה,فحمة,West Bank (Judea & Samaria)
Kfar Ni'ma,כפר נעמה,كفر نعمة,West Bank (Judea & Samaria)
Attara,עטארה,عطارة,West Bank (Judea & Samaria)
Ein Umm ash-Sharayit,עין אום אשרייט,أم الشرايط,West Bank (Judea & Samaria)
Einas,עינאבוס,عينابوس,West Bank (Judea & Samaria)
Burqin,ברוקין,برقين,West Bank (Judea & Samaria)
Immatin,אימאתין,إماتين,West Bank (Judea & Samaria)
Al-Yamun,אל-יאמון,اليامون,West Bank (Judea & Samaria)
Deir Dibwan,דיר דיבוואן,دير دبوان,West Bank (Judea & Samaria)
Madama,מדמא,مادما,West Bank (Judea & Samaria)
Ramon,רמון,رمون,West Bank (Judea & Samaria)
Al-Lubban,א-לובן,اللبن,West Bank (Judea & Samaria)
Habla,חבלה,حبلة,West Bank (Judea & Samaria)
Khirbat al-Marjam,ח'רבת אל מרג'אם,خربة المرجم,West Bank (Judea & Samaria)
Kfar Qud,כפר קוד,كفر قود,West Bank (Judea & Samaria)
Abush,עבוש,كفر عبوش,West Bank (Judea & Samaria)
Funduq,פונדוק,الفندق,West Bank (Judea & Samaria)
Jaba,ג'בע,جبع,West Bank (Judea & Samaria)
Beit Sahour,בית סאחור,بيت ساحور,West Bank (Judea & Samaria)
Um al-Khair,אום אל-חיר,أم الخير,West Bank (Judea & Samaria)
Fureidis,פורדיס,الفريديس,West Bank (Judea & Samaria)
Amejun,עמג'ון,أمجون,West Bank (Judea & Samaria)
A-Dik,א-דיק,كفر الديك,West Bank (Judea & Samaria)
Izbat Shufa,עזבת שופה,عزبة شوفة,West Bank (Judea & Samaria)
Beirut,ביירות,بيروت,Lebanon
Nabatieh,נבטיה,النبطية,Lebanon
Tyre,צור,صور,Lebanon
Baalbek,בעלבכ,بعلبك,Lebanon
Bekaa Valley,הבקעא,سهل البقاع,Lebanon
Naqoura,א-נקורה,الناقورة,Lebanon
Ayta ash-Shab,עייתא א-שעב,عيتا الشعب,Lebanon
Khiam,אל-חיאם,الخيام,Lebanon
Houla,חולא,حولا,Lebanon
Yaroun,ירון,يارون,Lebanon
Hanin,חנין,حنين,Lebanon
Beit Yahoun,בית יהון,بيت ياحون,Lebanon
Mays al-Jabal,מיס אל ג'בל,ميس الجبل,Lebanon
Remiah,רמיה,رامية,Lebanon
Bint Jbeil,בינת ג'בל,بنت جبيل,Lebanon
Maroun al-Ras,מארון א-ראס,مارون الراس,Lebanon
Aitaroun,עיתרון,عيترون,Lebanon
Cana,כפר קאנא,قانا,Lebanon
Blida,בליידא,بليدا,Lebanon
Marwahin,מרווחין,مروحين,Lebanon
Rachaiya Al-Foukhar,רשיא אל פוחאר,راشيا الفخار,Lebanon
Dahieh,דאחייה,الضاحية,Lebanon
Kfar Kila,כפר כילא,كفركلا,Lebanon
Tair Harfa,טיר חרפא,طير حرفا,Lebanon
Al-Jabin,אל-ג'בין,الجبين,Lebanon
Yater,יעטר,ياطر,Lebanon
Shuba,כפר שובא,كفرشوبا,Lebanon
Tsideqin,זבקין,زبقين,Lebanon
Al-Matmura,אל-מטמורה,المطمورة,Lebanon
Labbouneh,לבונה,اللبونة,Lebanon
Markaba,מרכבא,مركبا,Lebanon
Shebaa,שבעא,شبعا,Lebanon
Yarin,יארין,يارين,Lebanon
Odaisseh,אל עדייסא,العديسة,Lebanon
Khirbet Selm,ח'רבת סלם,خربة سلم,Lebanon
Shibriha,שבריחה,شبريحا,Lebanon
Burj al-Shemali,בורג' א-שמאלי,برج الشمالي,Lebanon
Rabb al-Thalathin,רב א-תלתין,رب ثلاثين,Lebanon
Nafakhiyeh,נפח'יה,النفاخية,Lebanon
Tebnine,תבנין,تبنين,Lebanon
Faron,פארון,فرون,Lebanon
Muhaibib,מחייביב,محيبيب,Lebanon
Ainata,עינתא,عيناتا,Lebanon
Ni'mat al-Fawqa,נעמת אל-פוקא,نعمات الفوقا,Lebanon
Damascus,דמשק,دمشق,Syria
Khadar,ח'דר,حضر,Syria
Tasil,תסיל,تسيل,Syria
Tadmor,תדמור,تدمر,Syria
T4,T4,تي فور,Syria
Sana'a,צנעא,صنعاء,Yemen
Hodeidah,חודידה,الحديدة,Yemen
Ras Isa,ראס עיסא,رأس عيسى,Yemen
Al-Salif,א-סליף,الصليف,Yemen
Al-Jawf,אל-ג'וף,الجوف,Yemen
Tehran,טהראן,طهران,Iran
Kermanshah,כרמנשאה,كرمانشاه,Iran
Hamadan,המדאן,همدان,Iran
Isfahan,אצפהאן,أصفهان,Iran
Bushehr,בושהאר,بوشهر,Iran
Ahvaz,אהווז,الأحواز,Iran
Yazd,יזד,يزد,Iran
Dezful,דזפול,دزفول,Iran
Tabriz,טבריז,تبريز,Iran
Natanz,נטנז,نطنز,Iran
